Domain Name,Sub Domain Name,Table/View Name,Column Name,Data Type
Vendor Management,Financial Operations,SOWJD_TP_TechnicalProposalDetails,CreatedBy,nvarchar
Vendor Management,Financial Operations,SOWJD_TP_TechnicalProposalDetails,Remarks,nvarchar
Vendor Management,Financial Operations,SOWJD_TP_TechnicalProposalDetails,Status,smallint
Vendor Management,Financial Operations,SOWJD_TP_TechnicalProposalDetails,RfqId,uniqueidentifier
Vendor Management,Financial Operations,SOWJD_TP_TechnicalProposalDetails,isSpocSignedOff,bit
Vendor Management,Financial Operations,SOWJD_TP_TechnicalProposalDetails,isVendorSignedOff,bit
Vendor Management,Financial Operations,SOWJD_TP_TechnicalProposalDetails,isDMSignedOff,bit
Vendor Management,Financial Operations,SOWJD_TP_TechnicalProposalDetails,modifiedOn,datetime
Vendor Management,Financial Operations,SOWJD_TP_TechnicalProposalDetails,modifiedBy,varchar
Vendor Management,Financial Operations,SOWJD_TP_TechnicalProposalDetails,TechnicalProposalNumber,varchar
Vendor Management,Financial Operations,SOWJD_TP_TechnicalProposalDetails,secspocActionBy,nvarchar
Vendor Management,Financial Operations,SOWJD_TP_TechnicalProposalDetails,DMActionBy,nvarchar
Vendor Management,Financial Operations,SOWJD_TP_TechnicalProposalDetails,InitateSignOff,bit
Vendor Management,Financial Operations,SOWJD_TP_TechnicalProposalDetails,creator,varchar
Vendor Management,Financial Operations,SOWJD_TP_TechnicalProposalDetails,RecordOwner,varchar
Vendor Management,Financial Operations,SOWJD_TP_TechnicalProposalDetails,ManagedCapacity,nvarchar
Vendor Management,Financial Operations,SOWJD_SRN,Id,uniqueidentifier
Vendor Management,Financial Operations,SOWJD_SRN,BillingPeriodId,uniqueidentifier
Vendor Management,Financial Operations,SOWJD_SRN,VendorId,uniqueidentifier
Vendor Management,Financial Operations,SOWJD_SRN,PurchaseOrderId,uniqueidentifier
Vendor Management,Financial Operations,SOWJD_SRN,SowJdId,uniqueidentifier
Vendor Management,Financial Operations,SOWJD_SRN,SRNType,varchar
Vendor Management,Financial Operations,SOWJD_SRN,CreatedOn,datetimeoffset
Vendor Management,Financial Operations,SOWJD_SRN,CreatedBy,nvarchar
Vendor Management,Financial Operations,SOWJD_SRN,ModifiedOn,datetimeoffset
Vendor Management,Financial Operations,SOWJD_SRN,ModifiedBy,nvarchar
Vendor Management,Financial Operations,SOWJD_SRN,IsDeleted,bit
Vendor Management,Financial Operations,SOWJD_SRN,Version,timestamp
Vendor Management,Financial Operations,SOWJD_SRN,DM,varchar
Vendor Management,Financial Operations,SOWJD_SRN,SRNNumber,varchar
Vendor Management,Financial Operations,SOWJD_SRN,TechnicalProposalId,uniqueidentifier
Vendor Management,Financial Operations,SOWJD_SRN,SRNStatusID,int
Vendor Management,Financial Operations,SOWJD_SRN,InvoiceId,varchar
Vendor Management,Financial Operations,SOWJD_SRN,SRNTypeID,int
Vendor Management,Financial Operations,SOWJD_SRN,SRNValue,decimal
Vendor Management,Financial Operations,SOWJD_SRN,TotalPMO,decimal
Vendor Management,Financial Operations,SOWJD_SRN,ApproverEmployeeNumber,bigint
Vendor Management,Financial Operations,SOWJD_SRN,RecordOwner,varchar
Vendor Management,Financial Operations,SOWJD_SRN,SectionSpoc,varchar
Vendor Management,Financial Operations,SOWJD_SRN,L1DeligationCount,int
Vendor Management,Financial Operations,SOWJD_SRN,L2DeligationCount,int
Vendor Management,Financial Operations,SOWJD_SRN,SectionSPOCApproval,varchar
Vendor Management,Financial Operations,SOWJD_SRN,ApprovalDM,varchar
Vendor Management,Financial Operations,SOWJD_SRN,ApprovalSecSpoc,varchar
Vendor Management,Financial Operations,SOWJD_SRN,SRNBillingYear,int
Vendor Management,Financial Operations,ProjectXCompetency,Id,uniqueidentifier
Vendor Management,Financial Operations,ProjectXCompetency,PlantId,uniqueidentifier
Vendor Management,Financial Operations,ProjectXCompetency,EmployeeNumber,bigint
Vendor Management,Financial Operations,ProjectXCompetency,SOWJDId,uniqueidentifier
Vendor Management,Financial Operations,ProjectXCompetency,SkillsetId,uniqueidentifier
Vendor Management,Financial Operations,ProjectXCompetency,GradeId,uniqueidentifier
Vendor Management,Financial Operations,ProjectXCompetency,LocationModeId,int
Vendor Management,Financial Operations,ProjectXCompetency,CapacityAllocation,decimal
Vendor Management,Financial Operations,ProjectXCompetency,Billable,bit
Vendor Management,Financial Operations,ProjectXCompetency,BillingStartDate,datetime
Vendor Management,Financial Operations,ProjectXCompetency,ValidityStart,datetime
Vendor Management,Financial Operations,ProjectXCompetency,ValidityEnd,datetime
Vendor Management,Financial Operations,ProjectXCompetency,IsDeleted,bit
Vendor Management,Financial Operations,ProjectXCompetency,CreatedOn,datetimeoffset
Vendor Management,Financial Operations,ProjectXCompetency,CreatedBy,nvarchar
Vendor Management,Financial Operations,ProjectXCompetency,ModifiedOn,datetimeoffset
Vendor Management,Financial Operations,ProjectXCompetency,ModifiedBy,nvarchar
Vendor Management,Financial Operations,ProjectXCompetency,Version,timestamp
Vendor Management,Financial Operations,ProjectXCompetency,GbId,uniqueidentifier
Vendor Management,Financial Operations,ProjectXCompetency,SowjdSignOffId,uniqueidentifier
Vendor Management,Financial Operations,ProjectXCompetency,ResourcePlanId,uniqueidentifier
Vendor Management,Financial Operations,ProjectXCompetency,DeboardingRequestID,nvarchar
