Table/View Name,Column Name,Data Type
BusinessSupport,Id,uniqueidentifier
BusinessSupport,BusinessSupportName,nvarchar
BusinessSupport,IsApplicableToSowJd,bit
BusinessSupport,BusinessSupportCode,varchar
Classification,Id,uniqueidentifier
Classification,ClassificationName,nvarchar
Clusters,Id,uniqueidentifier
Clusters,ClusterId,nvarchar
Clusters,ClusterName,nvarchar
Clusters,CreatedOn,datetimeoffset
Clusters,CreatedBy,nvarchar
Clusters,ModifiedOn,datetimeoffset
Clusters,ModifiedBy,nvarchar
Clusters,IsDeleted,bit
Clusters,Version,timestamp
CMSOWjdDetails,Id,uniqueidentifier
CMSOWjdDetails,CMRequestID,nvarchar
CMSOWjdDetails,SignOffId,nvarchar
CMSOWjdDetails,SowJdID,nvarchar
CMSOWjdDetails,SkillSet,nvarchar
CMSOWjdDetails,Grade,nvarchar
CMSOWjdDetails,PurchaseOrder,nvarchar
CMSOWjdDetails,PoLineItem,nvarchar
CMSOWjdDetails,PersonalArea,nvarchar
CMSOWjdDetails,PersonalSubArea,nvarchar
CMSOWjdDetails,OrganizationUnit,nvarchar
CMSOWjdDetails,CreatedBy,varchar
CMSOWjdDetails,CreatedDate,date
CMSOWjdDetails,IsDeleted,bit
CMSOWjdDetails,ChangeType,varchar
CMSOWjdDetails,SowJdEndDate,nvarchar
CMSOWjdDetails,Billable,varchar
CMSOWjdDetails,OldResourcePlanID,uniqueidentifier
CommonModuleLogs,Id,uniqueidentifier
CommonModuleLogs,StatusCode,nvarchar
CommonModuleLogs,URL,nvarchar
CommonModuleLogs,Request,nvarchar
CommonModuleLogs,Response,nvarchar
CommonModuleLogs,ErrorMessage,nvarchar
CommonModuleLogs,CreatedOn,datetime
CommonModuleLogs,CreatedBy,nvarchar
CommonModuleLogs,ModifiedOn,datetime
CommonModuleLogs,ModifiedBy,nvarchar
CommonModuleLogs,IsDeleted,bit
DeleteConfigurationSetting,Id,int
DeleteConfigurationSetting,CompanyId,uniqueidentifier
DeleteConfigurationSetting,RetentionYears,int
DeleteConfigurationSetting,CreatedBy,nvarchar
DeleteConfigurationSetting,CreatedOn,datetime
DeleteConfigurationSetting,ModifiedBy,nvarchar
DeleteConfigurationSetting,ModifiedOn,datetime
DeleteConfigurationSetting,Isdelete,bit
EmailNotificationRecipients,Id,int
EmailNotificationRecipients,NotificationId,int
EmailNotificationRecipients,Email,nvarchar
EmailNotificationRecipients,RecipientType,nvarchar
EmailNotificationRecipients,Subject,nvarchar
EmailNotificationRecipients,CreatedBy,nvarchar
EmailNotificationRecipients,CreatedOn,datetime
EmailNotificationRecipients,ModifiedBy,nvarchar
EmailNotificationRecipients,ModifiedOn,datetime
EmailNotificationRecipients,IsDelete,bit
EnricoAdministrators,Id,uniqueidentifier
EnricoAdministrators,Name,nvarchar
EnricoAdministrators,AdminDomainId,nvarchar
EnricoAdministrators,IsDeleted,bit
EnricoBusinessRoles,Id,uniqueidentifier
EnricoBusinessRoles,EntityId,uniqueidentifier
EnricoBusinessRoles,EntityBusinessRoleName,nvarchar
EnricoBusinessRoles,EntityBusinessRoleStatus,bit
EnricoBusinessRoles,FirstApprover,bit
EnricoBusinessRoles,SecondApprover,bit
EnricoBusinessRoles,CreatedOn,datetimeoffset
EnricoBusinessRoles,CreatedBy,nvarchar
EnricoBusinessRoles,ModifiedOn,datetimeoffset
EnricoBusinessRoles,ModifiedBy,nvarchar
EnricoBusinessRoles,IsDeleted,bit
EnricoEmailTemplate,Id,uniqueidentifier
EnricoEmailTemplate,EntityId,uniqueidentifier
EnricoEmailTemplate,To,nvarchar
EnricoEmailTemplate,CC,nvarchar
EnricoEmailTemplate,Subject,nvarchar
EnricoEmailTemplate,Content,nvarchar
EnricoEmailTemplate,StorageContainer,nvarchar
EnricoEmailTemplate,IsReminded,bit
EnricoEmailTemplate,RemindedInDays,int
EnricoEmailTemplate,FolderName,nvarchar
EnricoEmailTemplate,CreatedOn,datetime
EnricoEmailTemplate,CreatedBy,nvarchar
EnricoEmailTemplate,ModifiedOn,datetime
EnricoEmailTemplate,ModifiedBy,nvarchar
EnricoEmailTemplate,IsDeleted,bit
EnricoEmailTemplate,FeatureCode,nvarchar
EnricoEntities,Id,uniqueidentifier
EnricoEntities,EntityName,nvarchar
EnricoEntities,EntityFullName,nvarchar
EnricoEntities,CreatedOn,datetimeoffset
EnricoEntities,CreatedBy,nvarchar
EnricoEntities,ModifiedOn,datetimeoffset
EnricoEntities,ModifiedBy,nvarchar
EnricoEntities,IsDeleted,bit
EnricoEntities,CompanyCode,nvarchar
EnricoEntityAdmins,Id,uniqueidentifier
EnricoEntityAdmins,EntityId,uniqueidentifier
EnricoEntityAdmins,EntityAdminUser,nvarchar
EnricoEntityAdmins,EntityAdminStatus,bit
EnricoEntityAdmins,CreatedOn,datetimeoffset
EnricoEntityAdmins,CreatedBy,nvarchar
EnricoEntityAdmins,ModifiedOn,datetimeoffset
EnricoEntityAdmins,ModifiedBy,nvarchar
EnricoEntityAdmins,IsDeleted,bit
EnricoFeatures,Id,uniqueidentifier
EnricoFeatures,ModuleId,uniqueidentifier
EnricoFeatures,FeatureName,nvarchar
EnricoFeatures,FeatureDescription,nvarchar
EnricoFeatures,UrlPath,nvarchar
EnricoFeatures,CreatedOn,datetimeoffset
EnricoFeatures,CreatedBy,nvarchar
EnricoFeatures,ModifiedOn,datetimeoffset
EnricoFeatures,ModifiedBy,nvarchar
EnricoFeatures,IsDeleted,bit
EnricoFeatures,FeatureCode,nvarchar
EnricoFeatures,FeatureNumber,nvarchar
EnricoModules,Id,uniqueidentifier
EnricoModules,ModuleName,nvarchar
EnricoModules,ModuleIcon,nvarchar
EnricoModules,ModuleDescription,nvarchar
EnricoModules,UrlPath,nvarchar
EnricoModules,CreatedOn,datetimeoffset
EnricoModules,CreatedBy,nvarchar
EnricoModules,ModifiedOn,datetimeoffset
EnricoModules,ModifiedBy,nvarchar
EnricoModules,IsDeleted,bit
EnricoModules,IsBelongToVendor,bit
EnricoNotification,Id,uniqueidentifier
EnricoNotification,EntityId,uniqueidentifier
EnricoNotification,FeatureId,uniqueidentifier
